industry,company
Aerospace,"['OneWeb', 'Kitty Hawk', 'Astra', 'AirMap']"
Construction,"['Katerra', 'RenoRun', 'Procore', 'Yojak', 'Tul']"
Consumer,"['Meta', 'Google', 'Twitter', 'Bytedance', 'Yahoo']"
Crypto,"['Crypto.com', 'Coinbase', 'Kraken', 'Bybit', 'Huobi']"
Data,"['NetApp', 'UiPath', 'Informatica', 'Splunk', 'Rackspace']"
Education,"[""Byju's"", 'WhiteHat Jr', 'Unacademy', 'Vedantu', 'Skill Lync']"
Energy,"['Workrise', 'RigUp', 'Colossus', 'Brighte', 'Ecobee']"
Finance,"['PayPal', 'PaisaBazaar', 'Stone', 'Capital One', 'Doma']"
Fitness,"['Peloton', 'MindBody', 'Noom', 'CureFit', 'Flywheel Sports']"
Food,"['Flink', 'Swiggy', 'Gopuff', 'Instacart', 'Just Eat']"
HR,"['Indeed', 'LinkedIn', 'Workday', 'Glassdoor', 'UKG']"
Hardware,"['Micron', 'Dell', 'IBM', 'Seagate', 'Lam Research']"
Healthcare,"['Philips', 'Invitae', 'CoverMyMeds', 'GoHealth', 'Sema4']"
Infrastructure,"['Cisco', 'New Relic', 'Nutanix', 'DigitalOcean', 'ScaleFocus']"
Legal,"['Notarize', 'Relativity', 'SirionLabs', 'DISCO', 'CS Disco']"
Logistics,"['Loggi', 'Flexport', 'KeepTruckin', 'FarEye', 'Samsara']"
Manufacturing,"['Coherent', 'Syft Technologies', 'Augury', 'CreateMe']"
Marketing,"['OLX Group', 'GoDaddy', 'Hootsuite', 'HubSpot', 'Wix']"
Media,"['Spotify', 'Netflix', 'SiriusXM', 'Roku', 'BuzzFeed']"
Other,"['Microsoft', 'Ericsson', 'SAP', 'Twilio', 'PuduTech']"
Product,"['Airtable', 'GitLab', 'Productboard', 'Bryter', 'Mural']"
Real Estate,"['Better.com', 'Zillow', 'Redfin', 'Opendoor', 'Loft']"
Recruiting,"['ZipRecruiter', 'Greenhouse', 'Hirect', 'Andela', 'Gem']"
Retail,"['Amazon', 'Groupon', 'Wayfair', 'Stitch Fix', 'Shutterfly']"
Sales,"['Salesforce', 'DocuSign', 'ServiceTitan', 'Pipedrive', '6sense']"
Security,"['OneTrust', 'F5', 'Sophos', 'Snyk', 'Latch']"
Support,"['Amdocs', 'Zendesk', '8x8', 'TaskUs', 'LivePerson']"
Transportation,"['Uber', 'Carvana', 'Lyft', 'Ola', 'GoTo Group']"
Travel,"['Booking.com', 'Airbnb', 'OYO', 'Agoda', 'Vacasa']"
